0 12 0 -11284627.8862035609781742
0 66 45 19326599.4149781763553619
0 82 106 475580.8219915704685263
0 89 106 -3123240.1241536266170442
1 27 0 6334334.7696797829121351
1 68 90 5942460.3248161757364869
2 1 17 9799.4403027879361616
2 67 0 23306.8114418694276537
3 1 18 -5162386.3190927663818002
3 63 0 16272182.7009630221873522
3 90 16 492930.3389538500341587
4 9 32 843.2671359126144353
4 35 0 -17175.5814586931992380
5 27 19 -12182084.9560880102217197
5 81 0 12095851.2637714277952909
5 93 0 4928877.7846930213272572
6 7 20 -1708218.1997710086870939
6 23 19 136896.9369009556539822
6 65 0 5009188.9218298792839050
7 11 0 392446.8523407256579958
7 50 66 145996.4665097341639921
8 4 51 1654482.4596550238784403
8 49 0 4258753.8407042725011706
8 94 51 -217434.3248522433277685
9 62 0 11735.6344334703208006
9 75 0 -14.0983185021171025
10 5 55 353630.8134074335102923
10 29 0 14781110.6251486241817474
10 71 72 7211165.9762503905221820
10 79 72 -247676.3244962923927233
11 21 40 49373.2453697386881686
11 65 0 185171.7954392279207241
11 94 55 -56735.0007240125560202
12 9 42 -119940.1373650599707616
12 19 42 -89861.6662758925667731
12 33 26 1930531637.6317996978759766
12 34 26 -106225258.4203788042068481
12 59 0 537450.9970902868080884
12 89 28 -376735.5574350900715217
13 44 0 -246949.7716071203758474
13 70 29 15847.5467805202988529
13 98 14 664109.0667018180247396
14 59 44 127559.5812103329953970
14 76 43 69113.2772733130259439
14 97 27 -100490.0272177892911714
15 25 75 -2166696.1951408144086599
15 78 0 1576053.1937473942525685
16 43 0 511970.4185189479612745
16 64 32 -368966.1247645109542646
16 84 47 -394004.9968172580702230
16 93 47 -447429.1754850000143051
17 12 46 -10248.5999080560341099
17 20 60 8667.4212167582645634
18 6 47 -2214294.9515812490135431
18 15 77 7520468.1341575644910336
18 38 46 6986490.9724452840164304
19 64 34 -4269047.2051344728097320
19 95 33 2172949.8724288716912270
20 9 79 -68759.1486645011464134
20 10 79 1465916.8477633735165000
20 39 34 -2102203.2650213944725692
21 19 0 -43900.5838954463324626
21 64 80 -45428.9056193826909293
21 81 66 52868.7755481264975970
22 16 36 -6712440.9892069716006517
22 43 80 1193069.9567820911761373
22 74 0 918612.9568195048486814
22 87 0 -16323175.1376106180250645
23 10 39 -2389022.1936938413418829
23 37 38 1411530.5541999149136245
23 67 0 -158987.8508382740255911
24 31 0 971913.9968781530624256
24 44 0 642026.7362103891791776
24 79 40 -2707931.2209358927793801
25 10 72 301857.4888705796329305
25 51 41 5312991.3846123060211539
25 71 73 1433903.5639480273239315
25 85 73 7461.8532291526289555
26 26 41 17338672.7890816554427147
26 37 41 7929998.9633974907919765
26 74 0 695533.3678043306572363
27 30 28 188842.2151348763727583
27 38 28 22194.6907533178164158
27 66 0 -228618.6384943791781552
28 53 43 -58554.8920816902827937
28 64 43 -25499.1298667167648091
29 15 59 -1401943.2392029662150890
29 49 0 627030.4863654517102987
29 86 1 3331444.1930058952420950
30 44 0 -4434964.5433821100741625
30 88 31 -5229027.9228980531916022
31 36 60 -7855195.1588178351521492
31 38 60 20390.1364114843599964
31 56 61 451955.7018557589035481
31 73 75 3048008.3447812576778233
32 40 48 -181003.5362780836876482
32 48 48 -102376.1124984606140060
32 98 0 -6670393.0972266569733620
33 67 48 1225895.0828372191172093
34 9 109 -1281614.6268886618781835
34 26 122 -50562.4280847877671476
34 36 122 -92567.1001169310911791
34 56 35 4682745.7219233140349388
35 38 122 142614.7986500620027073
35 63 110 -131093.2292435260897037
35 70 50 775326.5828010350232944
36 52 37 -5314549.3895526323467493
36 86 82 6613988.4049871899187565
37 58 0 -5279631.0318983774632215
37 94 65 196880.9976995727629401
38 17 53 46370.1502453660141327
38 45 51 -376869.6955950040137395
39 9 71 400522.2323626931756735
39 26 53 -735798.3198312532622367
40 18 56 47890.7444870390027063
40 55 71 1930265.7418603745754808
41 83 42 87146.3618659526255215
41 98 88 -20855683.6385557688772678
44 20 104 -3023070.3846340538002551
44 59 59 6111790.8890477297827601
44 78 74 586330.1762025542557240
44 98 148 -7438293.0958131467923522
45 5 90 2336878.0204198225401342
45 23 91 -19472481.3198810480535030
46 1 60 -866086.7767681980039924
46 67 108 4870321.8307921169325709
46 85 62 -120169.7909497617656598
47 49 49 4885932.3095727171748877
48 27 49 1437650.1170205748640001
49 25 50 6931705.2403905410319567
49 52 63 -4703005.3703117053955793
50 32 64 -326965.5467473251046613
51 45 52 435589.1140006722416729
52 15 68 5149700.8306976826861501
53 13 67 -639645.5332664866000414
54 20 67 2402438.2363959238864481
54 58 71 -2098073.5400933949276805
55 88 56 -177989.3238966946373694
57 0 132 -3008002.7769597540609539
57 9 102 -4687534.1289733313024044
57 48 89 80176.7427840182062937
57 58 89 5288213.9082373240962625
57 99 132 -3008002.7769597540609539
