0 42 1 4458215.8690970111638308
0 49 1 -1517213.0638654322829098
0 91 106 870118.8579605361446738
1 47 15 3254567.1781814657151699
1 68 90 1448751.2386351078748703
2 11 17 -36767458.8357386440038681
2 38 30 -472011.0779149199370295
2 55 0 18029835.4192064329981804
2 87 3 5459.6584515019394530
3 66 0 -63839.9797656917653512
4 38 0 -8680858.3522544503211975
4 94 48 10208496.1758737843483686
5 18 6 165029.3892595148354303
5 37 19 -990889.4325989186763763
5 93 0 -509747.7209870701190084
6 12 20 114865.4288405083352700
6 68 0 -274127.9546767937135883
7 28 0 -79602.2852333363698563
7 81 20 18468.3442308415396838
8 17 65 22719.5997787249507383
8 50 0 -33090.0725360429278226
8 63 0 -96662.3383879286120646
9 5 41 -1668.9248055109962934
9 23 25 -1224105.0648624883033335
9 61 0 -3291276.9145938181318343
10 12 55 362617.1683022823999636
10 38 0 4908695.1592824431136250
10 83 72 -5468091.6834230571985245
11 4 55 2024961.1666462707798928
11 11 55 -2944055.8544097011908889
11 22 40 2024383.9676159031223506
11 35 40 12366468.1297936011105776
11 81 0 -105879.9907267656089971
12 10 42 5499633.5521952230483294
12 59 0 4191399.4104039994999766
12 85 28 -1100798.3739291976671666
13 13 14 21115.6335112881351961
13 49 0 -78667.7197120883356547
14 6 27 -79927.5865116367058363
14 40 44 101906.8630216226738412
14 61 104 78554.0051276180893183
14 95 27 148613.8840874912566505
15 17 30 -892222.7098774752812460
15 35 75 -584901.2104100488359109
15 93 0 -5099355.0195326413959265
16 4 18 -124517.7199074266391108
16 44 0 713676.5852223526453599
16 67 32 453.4508468985471836
16 84 47 -3436185.7656786856241524
16 93 47 -3144570.2433266397565603
17 0 46 1832111.7122744254302233
17 11 46 -2766504.9377084141597152
17 19 60 25397505.6596856042742729
17 99 46 1832111.7122744254302233
18 34 46 567138.4195015515433624
19 4 33 -1338294.2304644118994474
19 66 34 5181328.1678254380822182
20 95 79 -32396.4558477564678469
21 18 0 8983749.9396545793861151
21 56 80 3424075.4867840986698866
21 62 80 -10587967.0968723483383656
21 93 66 2090937.1234052332583815
22 21 36 -78964.1730364242685027
22 87 0 806244.3926162774441764
23 1 39 -144557.2766543971374631
