9.772050 -0.000000
9.926217 0.599575
9.919422 1.250752
9.797023 1.901650
9.598773 2.514392
9.347079 3.094435
9.061006 3.655588
8.758028 4.210389
8.441569 4.760140
8.107730 5.300288
7.752853 5.826482
7.376951 6.337444
6.982492 6.833949
6.571630 7.316536
6.141922 7.782257
5.687735 8.225745
5.203466 8.641287
4.685797 9.016106
4.133742 9.330209
3.546669 9.563948
2.930242 9.714746
2.296787 9.798077
1.658631 9.830217
1.022366 9.826221
0.389643 9.800095
-0.238092 9.765674
-0.862528 9.726870
-1.490575 9.671090
-2.129634 9.584178
-2.780705 9.449933
-3.400355 9.237952
-3.926311 8.911807
-4.306796 8.443021
-4.568893 7.862596
-4.775331 7.228423
-4.986299 6.596294
-5.248553 6.010972
-5.604703 5.513816
-6.083100 5.133063
-6.653177 4.842734
-7.269155 4.602853
-7.886833 4.373153
-8.472652 4.111424
-8.997451 3.774655
-9.433144 3.324266
-9.763629 2.771832
-9.980376 2.160606
-10.079080 1.530485
-10.082721 0.895697
-10.025412 0.259994
-9.939703 -0.372882
-9.830041 -0.998840
-9.676882 -1.613494
-9.460002 -2.212347
-9.165804 -2.783389
-8.791830 -3.301979
-8.336810 -3.742472
-7.809439 -4.095600
-7.235558 -4.380288
-6.642704 -4.618244
-6.054162 -4.832649
-5.471458 -5.054222
-4.889179 -5.316084
-4.304132 -5.650776
-3.774583 -6.074739
-3.426522 -6.586677
-3.366106 -7.181332
-3.484232 -7.825354
-3.555524 -8.470214
-3.369733 -9.066163
-2.920744 -9.550021
-2.340949 -9.850332
-1.720499 -9.950034
-1.079380 -9.917297
-0.431478 -9.827698
0.210224 -9.751800
0.843098 -9.702840
1.471103 -9.657535
2.098254 -9.592111
2.724611 -9.489747
3.343788 -9.344967
3.948859 -9.153380
4.534773 -8.911801
5.098745 -8.618506
5.637992 -8.271849
6.140872 -7.869600
6.581616 -7.408595
6.933287 -6.885638
7.183847 -6.305127
7.351978 -5.687120
7.460178 -5.053584
7.535005 -4.420912
7.612104 -3.793043
7.728347 -3.172228
7.915190 -2.564090
8.185837 -1.985624
8.549645 -1.456217
8.994788 -0.980785
9.435986 -0.514083
9.772050 -0.000000
