15 30 -10462209.19 -3078585.57 -0.979 -0.203 71.13 10.86
15 75 443463.57 -1337702.42 -0.108 -0.994 63.96 18.74
16 18 4100715.40 -5728279.92 0.568 -0.823 132.59 17.36
16 32 -7372.67 -2056.91 -0.946 -0.325 148.64 9.01
16 47 -4250153.54 -11356516.52 -0.602 -0.799 143.88 17.94
16 47 -4807019.45 -24953068.78 -0.271 -0.963 138.46 19.29
17 46 -4920461.47 -6303649.55 -0.418 -0.908 111.91 32.93
17 46 -33462181.94 -24140660.69 -0.889 -0.458 106.12 35.26
17 46 -38382643.41 -30444310.24 -0.418 -0.908 111.91 32.93
17 60 12595982.29 -64110623.02 0.559 -0.829 101.64 35.84
18 46 4100715.36 -5038555.97 0.697 -0.718 120.83 32.77
19 33 12213532.46 -130079.40 0.993 -0.120 190.70 23.70
19 34 -10946205.53 -8998370.77 -0.487 -0.874 204.94 34.54
105 106 -6308370.27 60992987.31 -0.368 0.930 10.27 19.82
105 120 9842288.81 -59049256.18 -0.073 -0.997 7.78 37.49
107 139 -23827163.50 -46784632.30 -0.741 -0.672 112.12 81.67
107 152 12307496.74 5948624.85 0.887 0.461 101.48 70.01
108 137 -19463567.90 -50010541.54 -0.730 -0.683 130.33 61.81
109 138 1169365.04 -2327505.78 0.181 -0.983 222.75 53.06
109 156 -10163153.12 -7236049.06 -0.900 -0.436 232.54 54.17
171 219 -2542746.01 501567.55 -0.951 0.309 324.63 130.33
171 232 2542745.61 214505.24 0.975 -0.223 305.71 131.44
173 204 3598582.39 -5149175.83 0.812 -0.583 416.67 106.63
173 204 4261504.31 -8596371.67 0.219 -0.976 421.52 110.59
173 223 -11903383.41 -19359638.12 -0.681 -0.733 427.68 110.90
174 190 12738043.19 -1113085.00 0.999 -0.049 358.18 114.19
174 203 -817467.51 -3878472.00 -0.020 -1.000 362.83 121.06
230 245 -132926.30 -304716.13 -0.472 -0.882 210.08 128.28
230 259 558947.50 -371022.40 0.890 -0.456 198.46 128.30
230 259 623088.16 -477226.97 0.492 -0.871 195.17 123.99
231 275 33622000.28 -7488063.08 0.933 -0.359 255.19 153.65
231 277 -29848222.89 -3642112.20 -0.939 -0.344 274.10 154.88
231 277 -39345318.63 -11604733.56 -0.931 -0.366 270.36 160.25
232 261 -51400.40 -857448.94 -0.332 -0.943 292.88 136.35
233 248 -1473676.47 991804.11 -0.906 0.423 352.62 153.31
233 250 -34418411.24 -19403331.43 -0.988 -0.152 348.71 165.25
233 280 747907.32 -1958224.82 0.275 -0.961 338.99 166.22
233 280 18599576.99 -20132465.89 0.826 -0.563 335.08 162.99
320 396 -6117806.06 -2522608.20 -0.947 -0.322 251.18 203.95
320 396 -12925265.68 -10280363.30 -0.805 -0.594 247.17 209.31
321 349 7055295.99 240501.45 0.926 0.377 214.06 223.06
321 349 7418012.54 977764.51 0.620 0.785 215.26 221.57
323 325 -30592089.55 5378971.20 -0.880 0.475 300.03 210.71
323 336 981907.73 641515.71 0.922 0.388 285.62 200.92
323 336 7153872.70 10095072.17 0.194 0.981 288.98 199.38
323 381 8651033.61 -3148154.42 0.983 -0.183 284.93 215.61
323 381 20841163.97 -410288.34 0.970 0.241 280.58 209.19
323 384 2597052.88 -14366076.25 0.270 -0.963 294.85 217.34
324 339 532506.93 -7007149.31 0.089 -0.996 371.46 206.17
405 423 425786.55 -1894783.48 0.338 -0.941 45.32 192.37
406 453 9445946.67 -386590.06 0.922 -0.387 54.21 224.69
406 453 22868487.70 3892251.25 0.995 0.095 56.47 218.53
406 454 1972004.98 -4757315.90 0.242 -0.970 60.07 230.99
408 409 1700415.04 -4310999.15 0.395 -0.918 172.56 230.64
